metric_group,dataset,column,metric_name,value
drop_counts,SystemBook,,RowsDropped,96
drop_counts,SystemBook,,ColsDropped,-1
drop_counts,SystemCustomers,,RowsDropped,1
drop_counts,SystemCustomers,,ColsDropped,0
referential_integrity,SystemBook,Customer ID,RowsCustomerNotFound,2
duplicates,SystemBook,,DuplicateRowsRemoved,92
duplicates,SystemCustomers,,DuplicateRowsRemoved,0
invalid_dates,SystemBook,Book checkout,InvalidDateCount,1
invalid_dates,SystemBook,Book Returned,InvalidDateCount,0
invalid_dates,SystemBook,,InvalidDateTotal,1
outliers,SystemBook,loan_duration_days,IQR_OutlierCount,1
